ICAO, Registration, Model, Aircraft Type
c05c86,C-GJAZ,CRJ9,L2J
ab5d4a,N831NN,B738,L2J
c02683,C-FOPE,PC12,L1T
c01ace,C-FKDX,C550,L2J
484f72,PH-AKB,A333,L2J
a4df56,N413AS,B739,L2J
39c429,F-HRBJ,B789,L2J
ac7127,N900WG,F900,L3J
aa305f,N756AM,B772,L2J
c03ba4,C-FWPF,GL7T,No
c05f9c,C-GKFJ,CL60,L2J
c035bb,C-FUJA,E75S,No
c00964,C-FDOL,CL30,L2J
71be37,HL7637,B748,L4J
39cf00,F-HTYA,A359,L2J
c08536,C-GYLP,B38M,L2J
4d208a,9H-VJF,GLEX,L2J
89639f,A6-EOF,A388,L4J
440393,OE-LTF,GLF6,No
a62665,N496AC,FA7X,L3J
a449a8,N37567,B39M,L2J
ad0f15,N940VT,TBM9,No
ab4126,N824QS,C700,No
a34199,N309JR,E75L,No
c0707b,C-GQPM,LJ45,L2J
406d7a,G-ZBKD,B789,L2J
c0206a,C-FMHD,B350,L2T
aa2bc5,N75436,B739,L2J
a96b14,N706CK,B744,L4J
c053d6,C-GFTL,CL60,L2J
a1f77c,N226BZ,BCS3,L2J
a35109,N3123J,BCS3,L2J
484fd4,PH-PKX,C750,L2J
a9b62c,N725AN,B77W,L2J
a5d4c3,N475MC,B744,L4J
3c4ad9,D-ABVY,B744,L4J
a67f81,N518DQ,A21N,L2J
aa3646,N757YX,E75L,No
34520e,EC-MMG,A332,L2J
39cf08,F-HTYI,A359,L2J
a8299a,N625JB,A320,L2J
c04852,C-GBKB,CL60,L2J
a5399a,N436C,F2TH,L2J
c063eb,C-GLVU,B38M,L2J
aa6b7e,N77006,B772,L2J
a67805,N516DA,A21N,L2J
a7fda0,N614AF,CL60,L2J
aa2184,N752AN,B772,L2J
c06c5b,C-GPAW,C56X,L2J
aa328f,N756YX,E75L,No
a777b8,N580UP,B744,L4J
405f32,G-DHLE,B763,L2J
406a9d,G-ZBJF,B788,L2J
aceacf,N931QS,C68A,No
a45586,N379DA,B738,L2J
406a05,G-XLEF,A388,L4J
3c670b,D-AIXK,A359,L2J
4007f7,G-YMML,B772,L2J
4952a4,CS-TUD,A339,L2J
346057,EC-MYX,A359,L2J
c07909,C-GTVS,B738,L2J
71be42,HL7642,B748,L4J
867fce,JA734J,B77W,L2J
06a140,A7-BFG,B77L,L2J
a5b760,N468AN,A21N,L2J
c0202d,C-FMEU,B752,L2J
a0e249,N156UP,A306,L2J
ae0499,58-0010,K35R,L4J
a75b5e,N573UP,B744,L4J
c0481d,C-GBIA,A319,L2J
a8320e,N627UP,B748,L4J
acfc74,N936FD,B752,L2J
a6893e,N520DE,A21N,L2J
ab2752,N818CM,E55P,L2J
c0561e,C-GGPX,BE20,L2T
c078e2,C-GTUF,CL35,L2J
c02031,C-FMEY,S22T,No
a39f58,N332XP,-,No
0c2082,HP-1826CMP,B738,L2J
71c226,HL8226,B77L,L2J
33ffe5,MM62191,C30J,L4T
c066f1,C-GMZO,M20P,L1P
c08177,C-GXAS,E545,No
c06908,C-GNUD,BE36,L1P
a954da,N700DA,MU2,L2T
c0004c,C-FACX,C182,L1P
c00451,C-FBQM,CL60,L2J
c01e1a,C-FLKJ,B38M,L2J
3c4b28,D-ABYH,B748,L4J
c06921,C-GNVC,CRJ2,L2J
c06db5,C-GPOE,DH8D,L2T
c001e6,C-FASR,C25A,L2J
4067f6,G-TUIB,B788,L2J
c0301d,C-FSFS,C25B,L2J
c01999,C-FJSA,PA44,L2P
c071c3,C-GRCC,C56X,L2J
c00b71,C-FEIQ,E75S,No
c0767d,C-GSWQ,LJ45,L2J
a70ee6,N554GJ,CRJ7,L2J
c080e0,C-GWUX,B738,L2J
a03bd3,N114HW,B350,L2T
c02655,C-FONK,B738,L2J
c0103a,C-FGDT,B789,L2J
3949f4,F-GSPU,B772,L2J
aadfa3,N80BF,C172,L1P
c00734,C-FCSX,B738,L2J
c08335,C-GXRW,B738,L2J
c04685,C-GASI,BE10,L2T
c03140,C-FSQX,C25B,L2J
acc707,N922QS,C68A,No
c06612,C-GMQZ,PC12,L1T
abde34,N864FD,B77L,L2J
c040a6,C-FYMN,PC12,L1T
a8b4cc,N660FX,GLF6,No
484f71,PH-AKA,A333,L2J
c06081,C-GKOE,A320,L2J
4065de,G-STBF,B77W,L2J
a1574e,N186DN,B763,L2J
c0226c,C-FNAX,B38M,L2J
40641d,G-VLUV,A333,L2J
c03c44,C-FWVJ,B738,L2J
c01759,C-FIVW,B77W,L2J
ae117b,02-1109,C17,L4J
a9f67d,N741CK,B744,L4J
3c66c3,D-AIVC,A359,L2J
c07a0c,C-GUFR,A332,L2J
3c4592,D-AALR,B77L,L2J
76cdba,9V-SMZ,A359,L2J
a3aa32,N335UP,B763,L2J
c086ee,C-GZCN,B733,L2J
c01fb9,C-FMAI,B752,L2J
a12622,N173UP,A306,L2J
a903b9,N680FE,A306,L2J
a3f579,N354UP,B763,L2J
c004e9,C-FBWI,B738,L2J
c02552,C-FODL,DH8A,L2T
a76683,N576UP,B744,L4J
accd87,N924FD,B752,L2J
c03d67,C-FXGO,CL30,L2J
c08830,C-GZOX,FA20,L2J
a406cf,N359FX,E55P,L2J
c05ca2,C-GJCB,GL5T,L2J
c05aac,C-GIIT,GLEX,L2J
a9cb18,N730AN,B77W,L2J
abb5ec,N85379,E75L,No
394a09,F-GSQJ,B77W,L2J
c0648b,C-GMBY,CL60,L2J
a38641,N326SY,E75L,No
3c4b32,D-ABYR,B748,L4J
aaea8c,N802NW,A333,L2J
c06dac,C-GPNV,DH8D,L2T
c04362,C-FZNL,RV10,No
c07782,C-GTGR,C421,L2P
800582,VT-ALS,B77W,L2J
a9c151,N728AN,B77W,L2J
c064d7,C-GMEW,SW4,L2P
c07718,C-GTCP,B06,H1T
c043b7,C-FZQS,A320,L2J
c00d51,C-FFBC,B38M,L2J
c04fff,C-GEHQ,B38M,L2J
c03e07,C-FXMS,B738,L2J
c05751,C-GHBS,CL60,L2J
c04067,C-FYKC,A319,L2J
a96c96,N706TW,B752,L2J
a6bbef,N533DT,A21N,L2J
4ba9fa,TC-JOZ,A332,L2J
ab4f78,N828KD,GA5C,No
c0475c,C-GBAP,PC12,L1T
39c420,F-HRBA,B789,L2J
c04053,C-FYJI,A319,L2J
c00b7e,C-FEJD,E75S,No
a1f557,N225UA,B772,L2J
abbb2c,N855NW,A332,L2J
c03ab6,C-FWGB,LJ40,L2J
3c0f31,D-AUTO,GA6C,No
c0841b,C-GYAS,DA40,L1P
3c6714,D-AIXT,A359,L2J
c059df,C-GIAW,WW24,No
c08602,C-GYTL,SW4,L2P
c03488,C-FTXF,B38M,L2J
400773,G-VIIV,B772,L2J
c04937,C-GBSW,ASTR,L2J
c08106,C-GWWJ,B738,L2J
484cbb,PH-BVG,B77W,L2J
c006d2,C-FCPD,B763,L2J
c012be,C-FHCN,B737,L2J
3461cb,EC-NCX,A359,L2J
740823,JY-BAC,B788,L2J
c0211f,C-FMOC,B752,L2J
a09702,N137UP,A306,L2J
a9c1c5,N728FD,A306,L2J
ac1e56,N880FD,B77L,L2J
a65454,N507DZ,A21N,L2J
740828,JY-BAH,B788,L2J
8963ea,A6-EOM,A388,L4J
c01d1f,C-FLAS,E545,No
c04d98,C-GDJZ,CRJ9,L2J
a941d9,N696JS,GL7T,No
c01a9d,C-FKCA,C208,L1T
c01ffd,C-FMCY,CL35,L2J
c00a85,C-FDZO,P28R,L1P
c0755a,C-GSLL,CRJ2,L2J
c063c3,C-GLUG,S22T,No
a5e31c,N479FX,GLF4,L2J
a7ccce,N601UX,E75L,No
c0784c,C-GTOL,R44,H1P
a5fefa,N486AY,B733,L2J
c00506,C-FBXL,C56X,L2J
484f73,PH-AKD,A333,L2J
c08566,C-GYNL,A139,No
4d23b7,9H-VIK,GL7T,No
01012a,SU-GDL,B77W,L2J
4ca9df,EI-EJL,A332,L2J
c0616e,C-GKXH,E295,No
a3ec8f,N352DJ,GLF4,L2J
c04ed6,C-GDWF,CL60,L2J
3c64c4,D-AIFD,A343,L4J
c0565b,C-GGSG,T206,No
c007ed,C-FDAA,BE58,L2P
a6eb1e,N545GJ,CRJ7,L2J
a02a4f,N11ES,S22T,No
8406d0,JA01WJ,A35K,L2J
c056c6,C-GGWJ,B737,L2J
c06751,C-GNDG,B738,L2J
43c6fb,ZZ338,A332,L2J
a773b3,N58BL,H25B,L2J
c03413,C-FTSS,ERCO,No
c05edb,C-GJXY,BCS3,L2J
3c7a4b,D-ANRK,A339,L2J
aa5dc5,N767YX,E75L,No
a8f3c5,N676UA,B763,L2J
3c670e,D-AIXN,A359,L2J
7c8201,VH-ZYR,PA46,L1P
a35cba,N3157J,BCS3,L2J
4d2335,9H-CCH,CL60,L2J
c07da5,C-GVPC,P28U,No
39cf0a,F-HTYK,A359,L2J
c00da8,C-FFEL,B38M,L2J
c06ce4,C-GPGD,CL60,L2J
485344,PH-BHL,B789,L2J
c0843a,C-GYBX,PC12,L1T
7805aa,B-2075,B77L,L2J
a50c4b,N424UP,B752,L2J
c02eb9,C-FRSA,B789,L2J
c07e17,C-GVTM,GLF4,L2J
406a9f,G-ZBJH,B788,L2J
76cdb3,9V-SMS,A359,L2J
4007f6,G-YMMK,B772,L2J
4851f5,PH-BVR,B77W,L2J
4078de,G-ZBLB,B78X,L2J
c0025a,C-FAXD,B38M,L2J
c027da,C-FPCJ,B763,L2J
868340,JA743J,B77W,L2J
a967eb,N705JB,A320,L2J
a0a480,N140UP,A306,L2J
a6d83c,N540DE,A21N,L2J
abed10,N868FD,B77L,L2J
a690de,N522FE,MD11,L3J
c07190,C-GRAD,DA42,L2P
ac30e9,N885FD,B77L,L2J
a8259b,N624FE,MD11,L3J
a46368,N382HA,A332,L2J
c08860,C-GZQT,SR22,L1P
c0869a,C-GYZH,C182,L1P
a8f77c,N677UA,B763,L2J
ac1f73,N880SP,G280,L2J
a84a0d,N633N,CL35,L2J
3c64c3,D-AIFC,A343,L4J
c00fb8,C-FFYT,B505,No
71c011,HL8011,B77W,L2J
aa9093,N780AN,B772,L2J
c04488,C-FZYT,P28T,L1P
39cf01,F-HTYB,A359,L2J
c086ae,C-GZAB,P28R,L1P
43ea3a,M-ARIE,H25B,L2J
4067a4,G-DHLK,B763,L2J
c03068,C-FSIP,B38M,L2J
a8886d,N649UA,B763,L2J
aac4ed,N793UA,B772,L2J
a0817f,N13113,B752,L2J
484415,PH-BQL,B772,L2J
c04ff4,C-GEHF,B38M,L2J
c06a39,C-GOFW,A333,L2J
c05e2d,C-GJRG,PC12,L1T
c080a5,C-GWSQ,B737,L2J
3c4587,D-AALG,B77L,L2J
c00e8c,C-FFNF,B734,L2J
8682da,JA740J,B77W,L2J
0d085d,XA-AMR,B788,L2J
a82332,N623UP,B748,L4J
a97639,N709CK,B744,L4J
a79838,N589K,GLF5,L2J
a7f7fc,N612UP,B748,L4J
89639e,A6-EOE,A388,L4J
a9704d,N707TW,B752,L2J
c052c2,C-GFIV,BT36,No
0c205b,HP-1716CMP,B738,L2J
ae0143,58-0035,K35R,L4J
a81f83,N622UX,E75L,No
c0071c,C-FCRZ,AT72,L2T
c016be,C-FIPX,GLEX,L2J
4850e6,PH-AKF,A333,L2J
a308dc,N295JG,GLF4,L2J
01012b,SU-GDM,B77W,L2J
a6b4c3,N531GJ,CRJ7,L2J
3c64f5,D-AIGU,A343,L4J
c03210,C-FSYX,E545,No
840a64,JA02WJ,A35K,L2J
39cf0c,F-HTYM,A359,L2J
c05b8e,C-GIRL,C525,L2J
c0101c,C-FGCP,DH8A,L2T
a6e361,N543DE,A21N,L2J
a8bff1,N663FX,GLF6,No
c0315a,C-FSRX,E550,No
c040e8,C-FYPB,B738,L2J
c04cb8,C-GDBJ,PC12,L1T
c00b7d,C-FEJC,E75S,No
485785,PH-BHN,B789,L2J
3949ee,F-GSPO,B772,L2J
4caa9b,EI-EJP,A332,L2J
a68d44,N521GJ,CRJ7,L2J
a99d89,N719AN,B77W,L2J
495307,CS-TXG,A21N,L2J
a5dee3,N478AS,B739,L2J
a6a6f6,N528DE,A21N,L2J
344502,EC-LZX,A333,L2J
a129d9,N174UP,A306,L2J
406590,G-STBD,B77W,L2J
aa4b32,N762YX,E75L,No
a4943e,N39415,B739,L2J
c07f5a,C-GWFX,GLEX,L2J
4bb14b,TC-LJK,B77W,L2J
06a141,A7-BFH,B77L,L2J
a2a2e6,N26909,B788,L2J
c066b0,C-GMXB,B38M,L2J
c049fd,C-GCAM,B38M,L2J
48455e,PH-BVA,B77W,L2J
867f8a,JA732J,B77W,L2J
c02de8,C-FRJZ,ASTR,L2J
a7d2e6,N603FE,MD11,L3J
a23c6c,N243PC,C700,No
c071c9,C-GRCI,CL60,L2J
424bcc,M-SFPL,GLEX,L2J
ad9750,N975ME,-,No
c027b2,C-FPAV,SR22,L1P
3c70c9,D-ALFI,B77L,L2J
c04ad1,C-GCIQ,B429,No
a7c6c6,N60VE,GA6C,No
4bb150,TC-LJP,B77L,L2J
440229,OE-IRP,GLEX,L2J
a6f28c,N547GJ,CRJ7,L2J
c05bcb,C-GITU,A321,L2J
3c4596,D-AALV,B77L,L2J
3c5824,D-AFAD,CL60,L2J
c03bf2,C-FWSF,B737,L2J
c05cf5,C-GJFG,GALX,L2J
8960fb,A6-EDZ,A388,L4J
c0637e,C-GLRP,LJ40,L2J
aabc11,N791DK,E170,L2J
89649f,A6-EQG,B77W,L2J
c01c28,C-FKRF,B738,L2J
a0a900,N14115,B752,L2J
aa59a5,N766US,A319,L2J
a8fc72,N67845,B739,L2J
aad213,N797AN,B772,L2J
a05297,N12NT,LNP4,No
a49510,N39475,B739,L2J
c00adc,C-FECX,C185,No
c049b2,C-GBXP,C172,L1P
a4a482,N399CZ,BE99,L2T
c01079,C-FGGE,B350,L2T
c00586,C-FCCJ,B763,L2J
aaa593,N78509,B738,L2J
a6cb0d,N537GJ,CRJ7,L2J
c027dd,C-FPCM,PA27,L2P
30047d,I-MOFI,F2TH,L2J
a173a8,N193DN,B763,L2J
a654cb,N507JT,A320,L2J
aa01a2,N744CK,B744,L4J
4ba95a,TC-JJZ,B77W,L2J
407cd1,G-XWBL,A35K,L2J
a754b5,N57111,B752,L2J
c038ac,C-FVLZ,B789,L2J
394a13,F-GSQT,B77W,L2J
c072ca,C-GRMF,AA5,No
ab2c0c,N819NW,A333,L2J
406a35,G-STBJ,B77W,L2J
3949e9,F-GSPJ,B772,L2J
a67bc8,N517DN,A21N,L2J
a35854,N3142J,BCS3,L2J
3c4a04,D-ABPD,B789,L2J
48ae23,SP-LSD,B789,L2J
aa37ce,N758AN,B772,L2J
c07866,C-GTPL,F2TH,L2J
c05272,C-GFFT,LJ70,No
a449a4,N37563,B39M,L2J
4952a5,CS-TUE,A339,L2J
3c7a4f,D-ANRO,A339,L2J
a6e720,N544DN,A21N,L2J
aa6b9f,N77014,B772,L2J
ae042d,64-14834,K35R,L4J
aa5b92,N767AJ,B772,L2J
407798,G-XWBB,A35K,L2J
48ae22,SP-LSC,B789,L2J
48436c,PH-BQE,B772,L2J
ab15c2,N813NW,A333,L2J
ad3d84,N952QS,C68A,No
aabf80,N792AN,B772,L2J
485ecd,PH-BVV,B77W,L2J
405bfe,G-YMMU,B772,L2J
4d0110,LX-RCV,B744,L4J
a9d286,N732AN,B77W,L2J
c02067,C-FMHA,B752,L2J
a81bc4,N621UP,B748,L4J
aad981,N799AN,B772,L2J
a40455,N358UP,B763,L2J
800463,VT-ALN,B77W,L2J
a6b0bd,N530DE,A21N,L2J
a38a21,N327UP,B763,L2J
a80321,N615UP,B748,L4J
c06a11,C-GOEI,PC24,No
a5d6f9,N47569,B39M,L2J
c04463,C-FZXI,B38M,L2J
acd13e,N925FD,B752,L2J
a638b1,N50MG,C700,No
c015a7,C-FIFE,R44,H1P
8004e0,VT-ALR,B77W,L2J
a68981,N520FX,CL30,L2J
4d210b,9H-VJY,GLEX,L2J
aa6914,N770AN,B772,L2J
a3c566,N342GV,E55P,L2J
71ba04,HL7204,B77W,L2J
a6d88b,N540GJ,CRJ7,L2J
a5766a,N451GA,GLF4,L2J
c08098,C-GWSD,C172,L1P
c078bf,C-GTSW,B38M,L2J
aada4d,N799JS,C25B,L2J
040046,ET-AOP,B788,L2J
896194,A6-EEU,A388,L4J
a97251,N708AL,B39M,L2J
a77f26,N582UP,B744,L4J
4ac899,SE-RDY,GLF5,L2J
89644f,A6-EPZ,B77W,L2J
4d20f9,9H-VJQ,GLEX,L2J
3949ea,F-GSPK,B772,L2J
39ce6e,F-HTTO,GL5T,L2J
c07286,C-GRJP,ASTR,L2J
c05494,C-GGAT,R44,H1P
ab57f7,N83WB,CL60,L2J
a2bc12,N27546,B39M,L2J
a83108,N627JB,A320,L2J
c05bd5,C-GIUE,A321,L2J
a36825,N3189J,BCS3,L2J
a2998d,N267FT,CL35,L2J
39cf02,F-HTYC,A359,L2J
a6b833,N532DN,A21N,L2J
48ae21,SP-LSB,B789,L2J
3c656f,D-AIKO,A333,L2J
aa589c,N766JB,A320,L2J
c04c36,C-GCWJ,B737,L2J
c06620,C-GMRN,S22T,No
abf6d7,N870FD,B77L,L2J
8691cc,JA785A,B77W,L2J
ac5fd6,N897FD,B77L,L2J
3c7a46,D-ANRF,A339,L2J
a79422,N588FE,MD11,L3J
ac2d32,N884FD,B77L,L2J
405f33,G-DHLG,B763,L2J
c074ef,C-GSHI,C56X,L2J
48ae02,SP-LRC,B788,L2J
440b9b,OE-LAJ,A332,L2J
ad6755,N963AK,B39M,L2J
c006c2,C-FCON,E545,No
0c20a4,HP-1836CMP,B738,L2J
3c6708,D-AIXH,A359,L2J
4007f5,G-YMMJ,B772,L2J
3965a1,F-GZNB,B77W,L2J
3c64ee,D-AIGN,A343,L4J
868078,JA739J,B77W,L2J
406e11,G-VOWS,B789,L2J
ac096a,N875FD,B77L,L2J
49d39d,OK-JMD,GLF5,L2J
a10611,N165UP,A306,L2J
4075b4,G-VPOP,A35K,L2J
aa56b5,N76516,B738,L2J
c07f4f,C-GWFM,F900,L3J
846a5b,JA14KZ,B748,L4J
a96577,N704X,B752,L2J
89618b,A6-EEL,A388,L4J
ab15ba,N813NN,B738,L2J
acc619,N922FD,B752,L2J
ab4c4b,N827QS,C700,No
c07565,C-GSLW,C25B,L2J
c04a9d,C-GCGQ,B412,H2T
c058f7,C-GHRY,C25M,L2J
a95dba,N702TW,B752,L2J
c082c2,C-GXNL,DH8D,L2T
c02fe4,C-FSDN,C25B,L2J
800584,VT-ALU,B77W,L2J
c07440,C-GSAP,GLEX,L2J
c06a35,C-GOFS,PC12,L1T
3c4593,D-AALS,B77L,L2J
a0000d,N1AL,GLF6,No
06a081,A7-BFC,B77L,L2J
86951c,JA793A,B77W,L2J
c001eb,C-FASW,C25A,L2J
aba54a,N85D,GLEX,L2J
c03370,C-FTML,CL60,L2J
a69bcd,N525DA,A21N,L2J
896452,A6-EQC,B77W,L2J
4d0115,LX-ECV,B744,L4J
3c70c4,D-ALFD,B77L,L2J
a8a7cf,N657MA,TBM8,L1T
89618c,A6-EEM,A388,L4J
86e496,JA866J,B789,L2J
484cba,PH-BVF,B77W,L2J
c06ad6,C-GOLX,GL7T,No
c08268,C-GXJZ,DH8D,L2T
440081,OE-LPD,B772,L2J
39d2a8,F-HUVI,A359,L2J
aae59e,N801AK,B38M,L2J
4d23ab,9HVISTA,GL7T,No
400610,G-VIIJ,B772,L2J
a2ca64,N27908,B788,L2J
aae28f,N800HC,GLEX,L2J
a0ceb3,N151JE,GLF4,L2J
ac4d43,N892FD,B77L,L2J
4ba949,TC-JJI,B77W,L2J
abda7d,N863FD,B77L,L2J
406ecc,G-VFAN,B789,L2J
39cf0f,F-HTYP,A359,L2J
a35592,N3139J,BCS3,L2J
c045f1,C-GAMQ,B38M,L2J
406a04,G-XLEE,A388,L4J
4007fa,G-YMMO,B772,L2J
0c2093,HP-1832CMP,B738,L2J
4948b5,CS-REU,GLEX,L2J
aad24e,N797CX,C750,L2J
a8cebc,N667FE,A306,L2J
aa17e5,N75CC,GLF5,L2J
ac05b3,N874FD,B77L,L2J
c04688,C-GASL,E545,No
a591a4,N458UP,B752,L2J
ad5ca7,N960FD,B752,L2J
c076c7,C-GSZM,SR22,L1P
a7f096,N610UX,E75L,No
ae1459,06-6155,C17,L4J
43c6f8,ZZ335,A332,L2J
aa781f,N774CK,B77L,L2J
c06720,C-GNBJ,C172,L1P
a997cc,N717TW,B752,L2J
c0225d,C-FNAI,-,No
c052a4,C-GFHR,CL30,L2J
c02538,C-FOCL,CL30,L2J
c04fb5,C-GEEU,C150,L1P
c00b93,C-FEJY,E75S,No
c012c7,C-FHCW,LJ45,L2J
ab8c19,N843MH,B764,L2J
c0187a,C-FJGZ,CRJ9,L2J
c03ed7,C-FXUS,SW4,L2P
4ba9d4,TC-JNT,A333,L2J
a0044b,N10VW,TBM9,No
c019c5,C-FJTS,SW3,L2T
4ba890,TC-JDP,A332,L2J
c01ee6,C-FLSF,B738,L2J
c06ca3,C-GPDQ,CL30,L2J
c08095,C-GWSA,B738,L2J
aa7e9a,N77543,B39M,L2J
aac03d,N792JB,E170,L2J
a4ccba,N4080J,A21N,L2J
ae0270,63-8038,K35R,L4J
406d4d,G-VSPY,B789,L2J
a33398,N305TK,E35L,No
c01873,C-FJGS,DA40,L1P
a6c39f,N535GJ,CRJ7,L2J
0d0771,XA-AME,B738,L2J
485ecc,PH-BVW,B77W,L2J
c021f6,C-FMWJ,B737,L2J
a85119,N635JB,A320,L2J
a2a915,N27015,B772,L2J
ae04f8,63-7988,K35R,L4J
a73b08,N565RV,GLF4,L2J
89644d,A6-EPX,B77W,L2J
a39bfa,N33103,B752,L2J
acc9be,N923EL,GLF5,L2J
0c2075,HP-1823CMP,B738,L2J
c05d3c,C-GJHZ,CRJ9,L2J
a05582,N120UP,A306,L2J
a76df1,N578UP,B744,L4J
a8c397,N664FE,A306,L2J
c08758,C-GZGP,CL60,L2J
040102,ET-ASH,B788,L2J
c01c06,C-FKPX,PC12,L1T
740822,JY-BAB,B788,L2J
a07690,N129QS,GL5T,L2J
4063e7,G-VKSS,A333,L2J
c08568,C-GYNN,A139,No
a37ed3,N324SY,E75L,No
ab8fd0,N844MH,B764,L2J
c039ab,C-FVVU,C182,L1P
ab5975,N830MH,B764,L2J
ae0426,60-0363,K35R,L4J
a6bfe8,N534GJ,CRJ7,L2J
aa78bc,N774JS,C25B,L2J
a68946,N520DN,A359,L2J
aa9992,N782SP,DC87,L4J
a884b6,N648UA,B763,L2J
c05346,C-GFNX,C172,L1P
a4e714,N415DX,A339,L2J
c006ab,C-FCNQ,P28A,L1P
06a1bd,A7-BEG,B77W,L2J
c08260,C-GXJR,B38M,L2J
c07eda,C-GWAZ,B737,L2J
4b1902,HB-JMG,A343,L4J
aa8bfa,N779RN,E170,L2J
c00757,C-FCUG,A320,L2J
c02f9c,C-FSAT,SR22,L1P
4079cc,G-VLIB,A35K,L2J
aa5428,N765AN,B772,L2J
459053,OY-DBS,FA8X,No
c013d8,C-FHNJ,C56X,L2J
c083b8,C-GXWX,M20P,L1P
ab4840,N826MH,B764,L2J
406c3a,G-VYUM,B789,L2J
c085e0,C-GYSD,B738,L2J
c06a6e,C-GOHX,CL35,L2J
39ce6b,F-HTTL,CL60,L2J
48455f,PH-BVB,B77W,L2J
4a91b2,SE-DMR,A21N,L2J
a00187,N1RP,GLF5,L2J
c055c9,C-GGMQ,DH8D,L2T
ad727a,N966AK,B39M,L2J
c004ea,C-FBWJ,B737,L2J
a16e72,N1911W,GA6C,No
a6a33f,N527DE,A21N,L2J
0c208e,HP-1831CMP,B738,L2J
c068c9,C-GNRS,GLEX,L2J
3c64f0,D-AIGP,A343,L4J
394a07,F-GSQH,B77W,L2J
867fac,JA733J,B77W,L2J
406c3b,G-VZIG,B789,L2J
aa4548,N761AJ,B772,L2J
a0be81,N147UP,A306,L2J
a33eda,N308UP,B763,L2J
c0603b,C-GKLM,AS50,No
c08190,C-GXBR,C150,L1P
c00115,C-FAKQ,C77R,No
406b12,G-TUIE,B788,L2J
ab6fbf,N836MH,B764,L2J
ae146b,07-7173,C17,L4J
48506b,PH-TFK,B788,L2J
a1775f,N194DN,B763,L2J
ae0586,87-0041,C5M,No
4bb0ea,TC-LGJ,A359,L2J
71c252,HL8252,B77L,L2J
c05dc3,C-GJNE,C550,L2J
4bb195,TC-LLU,B789,L2J
4ac8da,SE-RFZ,B789,L2J
48ae01,SP-LRB,B788,L2J
3965ae,F-GZNO,B77W,L2J
4007ef,G-YMMD,B772,L2J
896185,A6-EEF,A388,L4J
ac9e23,N912AK,B39M,L2J
a13e8c,N18CG,F900,L3J
a8e132,N671UA,B763,L2J
a8b9b3,N661UA,B763,L2J
459257,OY-DRW,FA7X,L3J
484cbc,PH-BVI,B77W,L2J
ab35d3,N821NW,A333,L2J
4408fb,OE-LPF,B772,L2J
c074cb,C-GSFY,GLEX,L2J
4074e4,G-ZBJM,B788,L2J
4ba950,TC-JJP,B77W,L2J
407993,G-STBN,B77W,L2J
4843f2,PH-BQO,B772,L2J
c2c1fb,C-GSWF,BE10,L2T
407131,G-VBOW,B789,L2J
4d0105,LX-VCE,B748,L4J
a05a01,N12114,B752,L2J
407994,G-STBO,B77W,L2J
040204,CN-TLD,FA10,L2J
40797a,G-ZBLD,B78X,L2J
3c6706,D-AIXF,A359,L2J
3c65ab,D-AIMK,A388,L4J
3c4588,D-AALH,B77L,L2J
4952ac,CS-TUL,A339,L2J
867ff0,JA735J,B77W,L2J
4b191d,HB-JNH,B77W,L2J
89616e,A6-EFH,B77L,L2J
800462,VT-ALM,B77W,L2J
89610e,A6-ECG,B77W,L2J
a650cd,N506FX,CL35,L2J
a7fbbb,N613UX,E75L,No
345619,EC-MUS,GLF6,No
c03b8a,C-FWOF,PAY2,L2T
a8170d,N620JH,GLF5,L2J
4067f8,G-TUID,B788,L2J
3c15be,D-AXGB,A332,L2J
a3db0c,N348AF,PC12,L1T
c03308,C-FTIL,AT45,L2T
a642cd,N502QS,C68A,No
43e96b,M-BIGG,GL7T,No
c03019,C-FSFO,C25B,L2J
4bb0ec,TC-LGL,A359,L2J
c08545,C-GYME,TB20,No
a58267,N454QS,E55P,L2J
c07eee,C-GWBT,B737,L2J
c05d7b,C-GJKK,B38M,L2J
3c4582,D-AALB,B77L,L2J
c01b4f,C-FKIW,B737,L2J
780a89,B-KQU,B77W,L2J
c07996,C-GUBD,A332,L2J
c016a9,C-FIPC,PC12,L1T
4bb19a,TC-LLZ,B789,L2J
ae0588,87-0043,C5M,No
4d012f,LX-MCL,B744,L4J
aac7ab,N794JB,A320,L2J
a08f94,N135UP,A306,L2J
407995,G-STBP,B77W,L2J
c07f5d,C-GWGA,B190,L2T
abb6b5,N854FD,B77L,L2J
a874e1,N644JB,A320,L2J
a8058a,N616FE,MD11,L3J
4ba953,TC-JJS,B77W,L2J
aa28f2,N754AN,B772,L2J
485345,PH-BHM,B789,L2J
49530a,CS-TXJ,A21N,L2J
3c6704,D-AIXD,A359,L2J
ac01fc,N873FD,B77L,L2J
aa5f41,N768AA,B772,L2J
c00647,C-FCJU,B763,L2J
a7e310,N607UP,B748,L4J
ac6c0d,N9SC,GA5C,No
c00bdc,C-FEMT,LJ40,L2J
4005d4,G-DHLL,B763,L2J
c085af,C-GYQG,B350,L2T
c0484c,C-GBJV,PC12,L1T
c029dd,C-FPWE,A320,L2J
c05b68,C-GIPZ,CL30,L2J
c06688,C-GMVN,B350,L2T
aa8499,N777SA,B77L,L2J
c03f85,C-FYBK,B738,L2J
c07f7c,C-GWHF,GLEX,L2J
c02e8f,C-FRQK,E75S,No
c06d2c,C-GPIX,DH8D,L2T
aafd4d,N807QS,C700,No
71c046,HL8046,B77L,L2J
